"","x"
"64619","10"
"53941","2"
"55792","2"
"15344","3"
"21814","2"
"19570","2"
"56845","2"
"112608","2"
"31228","4"
"115215","2"
"113966","4"
"96929","2"
"84783","11"
"77968","4"
"61368","2"
"125696","9"
"110484","2"
"43541","2"
"66782","2"
"52019","2"
"4158","4"
"77646","4"
"36632","4"
"124675","4"
"108067","2"
"30989","2"
"49918","2"
"122235","2"
"20859","2"
"26791","2"
"7761","2"
"61529","4"
"67193","2"
"112600","2"
"18972","2"
"4255","4"
"104288","4"
"106835","2"
"81763","4"
"81483","3"
"39285","2"
"3465","2"
"19238","2"
"98921","4"
"37497","2"
"26658","2"
"27841","2"
"49516","10"
"65747","2"
"20164","2"
"51660","2"
"60905","4"
"21735","4"
"59167","2"
"101052","2"
"31091","2"
"2457","2"
"118806","2"
"53532","13"
"62128","4"
"211","9"
"123572","11"
"109983","3"
"62337","4"
"1481","2"
"8445","4"
"63549","2"
"93875","2"
"59288","2"
"107398","2"
"97945","4"
"85183","2"
"14133","2"
"112191","2"
"44725","2"
"84430","2"
"106877","2"
"5736","2"
"72545","2"
"78862","2"
"30494","2"
"105001","10"
"21180","2"
"99618","2"
"52025","2"
"21305","2"
"74568","5"
"36620","2"
"15254","4"
"454","4"
"61829","4"
"48616","2"
"11027","2"
"105944","2"
"102543","2"
"109978","2"
"63961","12"
"34984","2"
"57929","9"
"54087","4"
"6181","2"
"47444","2"
"50913","2"
"99006","2"
"47896","2"
"41673","2"
"29058","4"
"14540","4"
"122449","11"
"119251","2"
"84958","2"
"21130","4"
"73612","4"
"123071","4"
"3357","4"
"117348","4"
"92021","2"
"62626","2"
"89963","2"
"38133","4"
"119213","2"
"32992","4"
"85821","2"
"7232","2"
"52700","2"
"90021","2"
"81247","10"
"41840","2"
"89217","2"
"7564","4"
"331","11"
"116056","4"
"6877","2"
"43161","4"
"13539","2"
"94777","2"
"117199","2"
"41012","2"
"40994","2"
"70593","2"
"17977","4"
"65782","2"
"86409","2"
"84318","2"
"105419","2"
"10474","4"
"99864","2"
"106416","3"
"10884","6"
"32438","4"
"15474","2"
"29561","2"
"94737","12"
"27933","4"
"62261","4"
"33854","4"
"106312","4"
"73208","2"
"74763","4"
"42014","2"
"52980","2"
"32534","11"
"89672","2"
"15515","9"
"67978","4"
"81060","2"
"94679","2"
"96852","4"
"5079","2"
"115279","2"
"11448","4"
"114013","2"
"62813","2"
"85766","4"
"115907","4"
"13183","10"
"41309","2"
"55848","2"
"66739","4"
"9729","4"
"118885","2"
"96742","2"
"89655","4"
"62072","4"
"41874","2"
"62401","2"
"80319","4"
"80051","9"
"79072","4"
"23195","4"
"3069","2"
"42315","3"
"66529","2"
"59652","11"
"30962","2"
"86579","2"
"73846","2"
"32276","2"
"116583","2"
"66915","2"
"39291","2"
"37132","6"
"112569","2"
"61358","2"
"28767","4"
"64632","4"
"88549","4"
"56880","4"
"45490","4"
"68066","9"
"39732","2"
"38287","2"
"7111","2"
"107868","9"
"35432","4"
"18140","4"
"33294","2"
"21105","9"
"51235","2"
"24389","2"
"26737","4"
"123917","10"
"19391","2"
"96836","4"
"25325","4"
"33032","2"
"108479","9"
"83623","2"
"38608","9"
"23350","4"
"78369","4"
"19918","5"
"22979","4"
"76647","2"
"69478","4"
"16970","2"
"78530","13"
"19280","3"
"8132","4"
"18339","10"
"56148","2"
"32809","2"
"40383","2"
"87235","4"
"121852","4"
"47822","2"
"53383","2"
"92282","11"
"87789","4"
"86855","2"
"99452","2"
"32657","2"
"58418","13"
"73187","10"
"62612","2"
"65096","4"
"55148","2"
"124356","2"
"105573","4"
"52767","4"
"72576","2"
"98447","4"
"64124","2"
"57724","2"
"85479","2"
"103388","4"
"15153","2"
"119966","13"
"68699","2"
"58589","2"
"99256","2"
"5401","2"
"120403","2"
"50595","2"
"89747","2"
"55604","2"
"81928","4"
"74448","2"
"676","2"
"548","4"
"82142","2"
"29831","4"
"28058","2"
"85225","12"
"59599","2"
"88245","11"
"107379","2"
"112775","2"
"101877","4"
"31838","2"
"85532","2"
"87885","4"
"28663","2"
"1015","2"
"35020","2"
"68096","2"
"124263","2"
"90509","4"
"16030","10"
"6861","4"
"119897","2"
"11072","3"
"115779","2"
"19995","4"
"22517","2"
"12822","4"
"105861","4"
"84436","2"
"26029","2"
"104308","4"
"65955","4"
"111220","4"
"113068","2"
"116213","4"
"35623","4"
"119789","4"
"105454","4"
"55991","4"
"11594","2"
"118729","2"
"64714","4"
"89622","4"
"27330","10"
"110456","2"
"2579","2"
"4744","2"
"81329","4"
"103202","4"
"5517","2"
"58091","4"
"94760","4"
"109412","2"
"114115","4"
"46658","4"
"51239","2"
"69511","2"
"40796","11"
"76032","2"
"124544","2"
"38307","4"
"59779","4"
"39579","2"
"64094","4"
"74868","2"
"98445","4"
"87561","2"
"88538","4"
"111232","2"
"33957","2"
"112683","2"
"47472","4"
"72914","2"
"5630","2"
"98311","2"
"112350","2"
"39037","2"
"54686","2"
"103319","4"
"34158","2"
"93955","4"
"107326","2"
"33061","3"
"16578","12"
"30130","2"
"105950","4"
"69094","4"
"84768","4"
"30714","12"
"1622","4"
"38111","4"
"109044","4"
"8630","7"
"93852","2"
"88699","4"
"75044","2"
"103562","10"
"15496","10"
"63328","4"
"69376","4"
"45516","2"
"111914","2"
"120094","2"
"6708","2"
"88643","4"
"56014","4"
"76304","2"
"79530","2"
"76239","9"
"56486","2"
"44287","2"
"2745","2"
"73328","2"
"80081","2"
"40939","2"
"66220","2"
"3224","2"
"8142","4"
"118210","2"
"107481","2"
"24906","2"
"4335","4"
"66704","2"
"15442","4"
"6125","2"
"78758","2"
"81518","2"
"25514","2"
"3405","2"
"49109","2"
"95423","4"
"66725","4"
"37049","2"
"101919","4"
"15410","2"
"93526","2"
"41665","2"
"114955","4"
"14673","2"
"113510","2"
"122968","2"
"102112","4"
"43972","4"
"76071","2"
"14501","4"
"79169","2"
"58086","2"
"32523","4"
"72301","2"
"11362","4"
"20487","4"
"73620","4"
"388","2"
"23521","10"
"85774","2"
"58943","2"
"42901","2"
"6744","3"
"56692","4"
"85721","2"
"22460","2"
"104243","4"
"55684","4"
"24558","2"
"76198","4"
"13324","4"
"90301","9"
"35064","2"
"70629","4"
"60970","2"
"95616","2"
"35421","4"
"38179","9"
"40073","2"
"91355","2"
"14884","12"
"89220","2"
"62271","4"
"122798","4"
"28693","4"
"48589","3"
"11679","2"
"70294","2"
"34256","4"
"4853","2"
"95566","2"
"51649","11"
"97118","12"
"88281","2"
"88253","9"
"14587","4"
"107777","2"
"71775","2"
"55213","4"
"87661","4"
"62771","2"
"21760","4"
"69869","2"
"22766","4"
"50651","2"
"84748","2"
"86422","3"
"99563","4"
"1206","2"
"724","2"
"29777","4"
"87708","4"
"117080","2"
"6615","2"
"82591","4"
"32109","2"
"15655","3"
"68525","2"
"22279","4"
"30327","2"
"48075","4"
"52192","4"
"8436","4"
"46301","4"
"27214","4"
"112463","2"
"24103","2"
"89448","4"
"116171","9"
"10156","4"
"83062","2"
"51727","4"
"41184","2"
"19602","2"
"20065","10"
"39169","4"
"78140","13"
"31053","2"
"30297","10"
"9334","2"
"1235","4"
"65771","4"
"97235","2"
"31072","4"
"47209","2"
"83831","2"
"115255","4"
"32751","2"
"19573","2"
"56860","2"
"16547","2"
"43017","4"
"121471","4"
"95157","2"
"118082","2"
"102708","4"
"18239","10"
"2218","2"
"76613","4"
"120508","2"
"110551","2"
"94076","2"
"78571","2"
"105838","4"
"103335","2"
"94607","4"
"103902","4"
"34849","10"
"58246","2"
"23794","2"
"60383","2"
"52132","6"
"54807","4"
"30754","2"
"123476","2"
"15227","4"
"19645","2"
"13040","4"
"121064","2"
"107075","4"
"120516","4"
"110917","2"
"39258","2"
"48988","2"
"71751","11"
"51041","2"
"285","4"
"14643","2"
"117324","2"
"91059","4"
"37902","13"
"95501","4"
"119979","4"
"23666","4"
"100335","12"
"99577","2"
"75011","4"
"17490","2"
"99437","2"
"97677","3"
"39394","4"
"13530","2"
"41714","2"
"85500","2"
"62672","4"
"38690","4"
"76469","4"
"67909","2"
"7683","2"
"51780","2"
"9468","2"
"70525","9"
"106738","2"
"87545","2"
"12892","2"
"121967","13"
"100027","2"
"44732","4"
"56449","9"
"90788","2"
"106905","4"
"113857","4"
"114786","2"
"65995","2"
"95946","2"
"49869","10"
"71347","2"
"88344","11"
"75093","2"
"8890","2"
"14296","2"
"98905","3"
"121131","2"
"64918","4"
"17762","2"
"45271","4"
"92830","4"
"38537","4"
"79767","2"
"37603","4"
"99248","2"
"106101","2"
"25007","2"
"4507","2"
"13903","4"
"15789","4"
"75310","4"
"43102","2"
"1429","2"
"41458","2"
"68293","2"
"123727","2"
"30419","11"
"82487","4"
"51186","2"
"55579","4"
"40053","2"
"96718","2"
"113065","2"
"14341","2"
"70144","4"
"6647","4"
"41804","2"
"85770","2"
"19486","2"
"9507","2"
"33801","2"
"110446","2"
"75306","10"
"59976","2"
"48468","12"
"59794","10"
"18891","4"
"121863","2"
"111020","4"
"62158","11"
"109436","4"
"119819","2"
"86989","4"
"120879","10"
"113019","2"
"94826","4"
"42097","4"
"104395","4"
"41296","2"
"33737","4"
"7486","2"
"4082","4"
"98705","4"
"49166","2"
"108822","2"
"113793","4"
"48542","4"
"97308","2"
"88529","2"
"40239","2"
"96955","2"
"36625","4"
"72768","4"
"22729","4"
"2552","2"
"26564","4"
"16843","10"
"70656","4"
"115369","2"
"38855","2"
"40371","2"
"93100","2"
"7942","2"
"85246","11"
"23495","4"
"113997","2"
"43477","4"
"67152","4"
"77628","4"
"124520","2"
"16434","9"
"90554","2"
"118433","10"
"87364","2"
"47604","4"
"84565","2"
"121982","2"
"1973","2"
"33043","2"
"62525","2"
"120149","2"
"117149","2"
"49197","4"
"104390","2"
"32001","4"
"113864","2"
"82806","3"
"20489","2"
"92423","4"
"106445","2"
"58984","4"
"115831","2"
"116940","2"
"109031","2"
"19656","2"
"104146","2"
"85817","4"
"88246","4"
"22260","2"
"303","4"
"2407","2"
"17368","2"
"73811","2"
"17731","4"
"120703","2"
"26688","2"
"112773","2"
"77378","2"
"8454","2"
"95621","2"
"61055","4"
"78468","2"
"105177","4"
"54147","2"
"57505","4"
"30429","4"
"1564","4"
"61708","2"
"39762","2"
"88428","4"
"84255","4"
"88071","10"
"122788","11"
"68001","4"
"87131","2"
"59234","2"
"119738","2"
"49113","11"
"52554","2"
"3785","2"
"2518","2"
"73592","2"
"115607","9"
"57124","2"
"9968","3"
"85901","2"
"50041","4"
"5533","2"
"45376","12"
"122500","2"
"14690","2"
"73253","4"
"8475","4"
"118837","4"
"65569","2"
"13566","4"
"94813","13"
"32716","11"
"78383","2"
"108821","4"
"68360","2"
"43189","4"
"99598","4"
"74899","2"
"37874","10"
"41462","4"
"14698","2"
"76630","4"
"45052","2"
"67007","2"
"63743","4"
"114234","2"
"111731","2"
"45575","4"
"4867","2"
"99523","4"
"54647","2"
"97431","3"
"54871","2"
"29544","11"
"64329","9"
"78531","4"
"3191","4"
"71188","4"
"63300","2"
"38617","2"
"14580","10"
"4457","2"
"105499","4"
"48802","4"
"60732","2"
"83520","4"
"54879","4"
"20990","4"
"75329","2"
"78462","4"
"100179","2"
"124867","2"
"81708","2"
"53235","2"
"23734","4"
"48590","2"
"111300","2"
"96631","2"
"22538","13"
"105022","2"
"50111","2"
"38427","4"
"44109","4"
"102514","4"
"108057","4"
"41681","2"
"78162","2"
"80373","2"
"3625","2"
"7103","2"
"31706","2"
"57151","4"
"47958","2"
"114276","10"
"14935","2"
"57520","2"
"120622","4"
"40655","4"
"62735","2"
"1804","2"
"60865","2"
"21302","2"
"88142","2"
"82449","2"
"81245","2"
"88248","4"
"67650","11"
"113203","9"
"72095","2"
"48982","2"
"27943","4"
"114061","4"
"59199","2"
"106415","2"
"25643","2"
"13904","2"
"124392","4"
"70751","4"
"20997","2"
"74470","2"
"125437","4"
"125334","6"
"14707","4"
"103503","4"
"90099","4"
"25108","4"
"19186","4"
"10757","2"
"101970","2"
"27876","4"
"71265","4"
"55646","2"
"51464","2"
"53615","2"
"30158","4"
"26588","2"
"84335","2"
"25349","4"
"79636","2"
"104771","2"
"118751","4"
"27175","4"
