"","x"
"4904","2"
"52530","2"
"12043","4"
"72357","2"
"18019","2"
"33391","2"
"115270","4"
"118688","2"
"32575","2"
"11323","2"
"37557","5"
"39923","4"
"51692","4"
"50733","4"
"6081","9"
"106934","4"
"57260","2"
"97278","4"
"91262","11"
"112512","4"
"32354","3"
"112011","4"
"13270","2"
"2833","2"
"86568","2"
"6466","4"
"116372","2"
"59884","9"
"44269","2"
"121400","4"
"38700","4"
"114178","2"
"42732","2"
"60480","2"
"33652","4"
"944","2"
"100779","4"
"94264","4"
"106322","4"
"40006","4"
"56856","9"
"19316","4"
"21547","2"
"57388","2"
"100778","4"
"70457","2"
"77182","2"
"68792","12"
"36571","4"
"96207","4"
"73711","2"
"61814","4"
"22135","4"
"123302","2"
"48634","2"
"113195","12"
"46818","4"
"104712","2"
"54388","2"
"26527","4"
"111591","4"
"10200","4"
"767","4"
"54624","2"
"14923","2"
"76412","4"
"58275","2"
"37334","3"
"116561","4"
"45681","4"
"96634","2"
"59071","2"
"114743","4"
"59655","2"
"123557","2"
"93404","4"
"45070","11"
"83151","6"
"50425","2"
"66079","2"
"34986","2"
"13231","2"
"121539","4"
"120802","2"
"120012","2"
"119182","4"
"66560","2"
"85993","4"
"65139","6"
"56251","13"
"105434","12"
"54453","4"
"3968","2"
"11811","4"
"46741","4"
"103713","2"
"3311","2"
"37595","4"
"83164","2"
"118731","2"
"14330","4"
"25398","4"
"30986","2"
"98210","2"
"100117","2"
"46875","4"
"90590","2"
"61498","4"
"38939","4"
"54994","3"
"117355","4"
"83669","2"
"77659","10"
"74030","11"
"50501","3"
"24683","2"
"13369","2"
"73868","2"
"72849","12"
"88077","4"
"59899","4"
"67275","2"
"92083","2"
"103455","4"
"5179","2"
"105069","2"
"43249","2"
"59227","10"
"44252","3"
"26983","2"
"1486","2"
"47865","2"
"107192","2"
"43975","4"
"5301","10"
"18012","2"
"73961","4"
"102595","2"
"33102","4"
"116776","2"
"97728","4"
"75317","2"
"114502","4"
"56461","2"
"65894","4"
"14548","6"
"67838","2"
"41192","2"
"69819","2"
"7198","4"
"99796","2"
"85808","4"
"61707","2"
"42255","4"
"94860","2"
"286","2"
"9926","4"
"125407","10"
"123834","2"
"80922","2"
"99197","4"
"31575","4"
"42229","2"
"82225","4"
"32601","2"
"108083","4"
"58172","2"
"51933","2"
"14470","2"
"49188","4"
"44393","2"
"5050","12"
"78659","2"
"17777","2"
"116654","2"
"81489","2"
"33141","4"
"117996","2"
"116704","4"
"9396","2"
"107568","2"
"34149","4"
"113706","10"
"118838","4"
"56481","2"
"13921","2"
"110165","5"
"64787","4"
"77628","4"
"31075","4"
"60970","2"
"106280","2"
"117699","2"
"68174","3"
"93909","2"
"40773","4"
"20380","2"
"2967","4"
"99141","11"
"44729","4"
"43291","2"
"32083","10"
"108978","4"
"4766","2"
"92778","4"
"84418","2"
"17167","2"
"98035","2"
"56981","6"
"37267","2"
"69248","2"
"24887","2"
"69960","4"
"2320","2"
"107140","2"
"28502","2"
"108432","4"
"109511","2"
"3786","2"
"110918","5"
"91967","4"
"55314","2"
"79755","2"
"27472","2"
"82012","4"
"86063","2"
"101038","2"
"68153","2"
"342","4"
"68927","2"
"104621","4"
"42158","11"
"125970","2"
"80082","2"
"64412","4"
"110569","2"
"64028","4"
"124042","2"
"93684","4"
"50211","2"
"125256","4"
"103373","2"
"71232","2"
"50101","2"
"43315","3"
"104378","2"
"40013","10"
"21919","4"
"84388","2"
"22838","2"
"5882","4"
"16670","4"
"105408","2"
"69331","2"
"115897","6"
"76790","2"
"23201","4"
"73858","2"
"23554","9"
"70181","2"
"2912","11"
"80455","4"
"44167","2"
"33619","10"
"83903","4"
"94967","2"
"15289","4"
"104485","4"
"86488","4"
"114438","2"
"4165","4"
"42251","2"
